id,Name,Date,Long,Lat
0,other,2000-1-1,121.528333,24.995278
1,other,2000-4-1,121.13987540000001,23.9661688
2,other,2000-7-1,121.1423335,24.0877945
3,other,2000-10-1,121.59811099999999,24.977555599999995
4,other,2001-1-1,120.93320000000001,23.43666
5,other,2001-4-1,120.93320000000001,23.43666
6,other,2001-7-1,121.574911,24.91405933333333
7,other,2001-10-1,121.222,24.316666666666666
8,other,2002-1-1,121.222,24.316666666666666
9,other,2002-4-1,121.222,24.316666666666666
10,other,2002-7-1,120.9335,23.0417
11,other,2002-10-1,120.991278,22.68745
12,other,2003-1-1,120.991278,22.68745
13,other,2003-4-1,121.104408,23.81578175
14,other,2003-7-1,121.104408,23.81578175
15,other,2003-10-1,121.0556445,23.416089000000003
16,other,2004-1-1,120.94007378787879,23.751359166666667
17,other,2004-4-1,120.94007378787879,23.751359166666667
18,other,2004-7-1,120.9984305,24.248759
19,other,2004-10-1,120.61166933333334,23.712135333333332
20,other,2005-1-1,120.724703,23.586309
21,other,2005-4-1,120.489326,23.494159999999997
22,other,2005-7-1,121.1596175,24.6763355
23,other,2005-10-1,121.1596175,24.6763355
24,other,2006-1-1,121.1596175,24.6763355
25,other,2006-4-1,120.623102,23.542871499999997
26,other,2006-7-1,120.88714733333332,24.027268000000003
27,other,2006-10-1,120.79015460000001,23.7146282
28,other,2007-1-1,120.79015460000001,23.7146282
29,other,2007-4-1,120.79015460000001,23.7146282
30,other,2007-7-1,121.46,24.649999999999995
31,other,2007-10-1,120.8246865625,23.6955501875
32,other,2008-1-1,120.75088439999999,23.604665999999998
33,other,2008-4-1,121.00085440000001,24.1233548
34,other,2008-7-1,121.02938849610389,23.401253353246755
35,other,2008-10-1,120.464563,22.858351
36,other,2009-1-1,120.7826065,23.735775500000003
37,other,2009-4-1,121.03399795444446,23.63227345388889
38,other,2009-7-1,121.00094987371794,23.396809507692307
39,other,2009-10-1,121.2526482,24.575299966666666
40,other,2010-1-1,121.3745131,24.692992609999997
41,other,2010-4-1,121.24048055555556,24.24554054166667
42,other,2010-7-1,121.23496888125,23.985831925
43,other,2010-10-1,121.09981439999999,24.0817562
44,other,2011-1-1,120.869512,23.897185333333336
45,other,2011-4-1,120.95113146568629,23.4519578504902
46,other,2011-7-1,121.06381066905638,23.747800628737746
47,other,2011-10-1,121.16627398148148,23.824253944444443
48,other,2012-1-1,120.99177285714286,23.192414244047622
49,other,2012-4-1,120.95648616172198,23.368955943062755
50,other,2012-7-1,121.07668852138158,23.985861933223685
51,other,2012-10-1,121.09947090080806,23.9996072640404
52,other,2013-1-1,120.7486049375,23.230927125
53,other,2013-4-1,121.09191263287038,23.89532722222222
54,other,2013-7-1,121.17037502225887,24.023510964395605
55,other,2013-10-1,121.06593725416667,23.648384372916667
56,other,2014-1-1,120.88938996503497,22.901685986013987
57,other,2014-4-1,120.78020375496928,23.487311292552477
58,other,2014-7-1,120.83763584996599,23.590655207517
59,other,2014-10-1,120.88166730833333,23.50430492407407
60,other,2015-1-1,121.256568,23.974093571428572
61,other,2015-4-1,121.10743914270833,23.9461203046875
62,other,2015-7-1,121.10824531538462,24.005600385897438
63,other,2015-10-1,120.65246020232524,23.282348363089607
64,other,2016-1-1,120.90377589531506,23.42465439715984
65,other,2016-4-1,120.92532791808026,23.99000719731337
66,other,2016-7-1,121.0586466414731,24.029648024927273
67,other,2016-10-1,121.03317541354764,24.085332595833332
68,other,2017-1-1,120.8588083771627,23.570877729315477
69,other,2017-4-1,121.06432966412927,24.103287752853724
70,other,2017-7-1,121.03196463085028,23.953449280467197
71,other,2017-10-1,120.91958073309553,23.791365643600063
72,other,2018-1-1,120.90399503384742,23.372716265784106
73,other,2018-4-1,121.06508047539852,24.118774480444632
74,other,2018-7-1,121.02548543870438,24.031687319939877
75,other,2018-10-1,120.99946466695602,24.004529475931044
76,other,2019-1-1,120.91862199477085,24.017181386960992
77,other,2019-4-1,120.98087786577985,24.080330002298606
78,other,2019-7-1,120.98858854731515,24.09169357675132
79,other,2019-10-1,121.02368297807786,23.995717860302367
80,other,2020-1-1,121.01269064225559,24.043291337721563
81,other,2020-4-1,121.00375510788713,24.074074285358442
82,other,2020-7-1,121.01711331096736,24.093791452829777
83,other,2020-10-1,120.99615754434939,23.99489905331953
84,other,2021-1-1,120.9983878780946,24.088110685906567
85,other,2021-4-1,121.0322552082687,24.08367935498314
86,other,2021-7-1,121.0322552082687,24.08367935498314
87,other,2021-10-1,121.0322552082687,24.08367935498314
